37502 104840
0 37495 2000000000
0 37489 2000000000
0 37483 2000000000
0 37477 2000000000
0 37471 2000000000
0 37465 2000000000
0 37459 2000000000
0 37453 2000000000
0 37447 2000000000
0 37441 2000000000
0 37435 2000000000
0 37429 2000000000
0 37423 2000000000
0 37417 2000000000
0 37411 2000000000
0 37405 2000000000
0 37399 2000000000
0 37393 2000000000
0 37387 2000000000
0 37381 2000000000
0 37375 2000000000
0 37369 2000000000
0 37363 2000000000
0 37357 2000000000
0 37351 2000000000
0 37345 2000000000
0 37339 2000000000
0 37333 2000000000
0 37327 2000000000
0 37321 2000000000
0 37315 2000000000
0 37309 2000000000
0 37303 2000000000
0 37297 2000000000
0 37291 2000000000
0 37285 2000000000
0 37279 2000000000
0 37273 2000000000
0 37267 2000000000
0 37261 2000000000
0 37255 2000000000
0 37249 2000000000
0 37243 2000000000
0 37237 2000000000
0 37231 2000000000
0 37225 2000000000
0 37219 2000000000
0 37213 2000000000
0 37207 2000000000
0 37201 2000000000
0 37195 2000000000
0 37189 2000000000
0 37183 2000000000
0 37177 2000000000
0 37171 2000000000
0 37165 2000000000
0 37159 2000000000
0 37153 2000000000
0 37147 2000000000
0 37141 2000000000
0 37135 2000000000
0 37129 2000000000
0 37123 2000000000
0 37117 2000000000
0 37111 2000000000
0 37105 2000000000
0 37099 2000000000
0 37093 2000000000
0 37087 2000000000
0 37081 2000000000
0 37075 2000000000
0 37069 2000000000
0 37063 2000000000
0 37057 2000000000
0 37051 2000000000
0 37045 2000000000
0 37039 2000000000
0 37033 2000000000
0 37027 2000000000
0 37021 2000000000
0 37015 2000000000
0 37009 2000000000
0 37003 2000000000
0 36997 2000000000
0 36991 2000000000
0 36985 2000000000
0 36979 2000000000
0 36973 2000000000
0 36967 2000000000
0 36961 2000000000
0 36955 2000000000
0 36949 2000000000
0 36943 2000000000
0 36937 2000000000
0 36931 2000000000
0 36925 2000000000
0 36919 2000000000
0 36913 2000000000
0 36907 2000000000
0 36901 2000000000
0 36895 2000000000
0 36889 2000000000
0 36883 2000000000
0 36877 2000000000
0 36871 2000000000
0 36865 2000000000
0 36859 2000000000
0 36853 2000000000
0 36847 2000000000
0 36841 2000000000
0 36835 2000000000
0 36829 2000000000
0 36823 2000000000
0 36817 2000000000
0 36811 2000000000
0 36805 2000000000
0 36799 2000000000
0 36793 2000000000
0 36787 2000000000
0 36781 2000000000
0 36775 2000000000
0 36769 2000000000
0 36763 2000000000
0 36757 2000000000
0 36751 2000000000
0 36745 2000000000
0 36739 2000000000
0 36733 2000000000
0 36727 2000000000
0 36721 2000000000
0 36715 2000000000
0 36709 2000000000
0 36703 2000000000
0 36697 2000000000
0 36691 2000000000
0 36685 2000000000
0 36679 2000000000
0 36673 2000000000
0 36667 2000000000
0 36661 2000000000
0 36655 2000000000
0 36649 2000000000
0 36643 2000000000
0 36637 2000000000
0 36631 2000000000
0 36625 2000000000
0 36619 2000000000
0 36613 2000000000
0 36607 2000000000
0 36601 2000000000
0 36595 2000000000
0 36589 2000000000
0 36583 2000000000
0 36577 2000000000
0 36571 2000000000
0 36565 2000000000
0 36559 2000000000
0 36553 2000000000
0 36547 2000000000
0 36541 2000000000
0 36535 2000000000
0 36529 2000000000
0 36523 2000000000
0 36517 2000000000
0 36511 2000000000
0 36505 2000000000
0 36499 2000000000
0 36493 2000000000
0 36487 2000000000
0 36481 2000000000
0 36475 2000000000
0 36469 2000000000
0 36463 2000000000
0 36457 2000000000
0 36451 2000000000
0 36445 2000000000
0 36439 2000000000
0 36433 2000000000
0 36427 2000000000
0 36421 2000000000
0 36415 2000000000
0 36409 2000000000
0 36403 2000000000
0 36397 2000000000
0 36391 2000000000
0 36385 2000000000
0 36379 2000000000
0 36373 2000000000
0 36367 2000000000
0 36361 2000000000
0 36355 2000000000
0 36349 2000000000
0 36343 2000000000
0 36337 2000000000
0 36331 2000000000
0 36325 2000000000
0 36319 2000000000
0 36313 2000000000
0 36307 2000000000
0 36301 2000000000
0 36295 2000000000
0 36289 2000000000
0 36283 2000000000
0 36277 2000000000
0 36271 2000000000
0 36265 2000000000
0 36259 2000000000
0 36253 2000000000
0 36247 2000000000
0 36241 2000000000
0 36235 2000000000
0 36229 2000000000
